日期,距离,用时,平均配速,消耗热量,平均心率,步频,步幅,当月次数,当月总跑量,当年次数,当年总跑量,备注,,,,,,,,,,,,,,,
2020/8/4,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/5,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/6,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/7,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/8,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/9,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/10,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/11,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/12,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/13,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/14,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/15,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/16,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/17,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/18,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/19,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/20,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/21,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/22,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/23,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
2020/8/24,,,#DIV/0!,,,,,,,,,,,,,,,,,,,,,,,,
